"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs17177078-<b>?</b>,"5 x 10-6",,NR,'-,"0.83 unit increase",[NR],TNRC6A,"Type 2 diabetes (dietary heme iron intake interaction)","type II diabetes mellitus, dietary heme iron intake measurement",GCST001843,16:24799360
rs1525739-<b>?</b>,"6 x 10-6",,NR,'-,"0.44 unit decrease",[NR],"AGR2, AGR3","Type 2 diabetes (dietary heme iron intake interaction)","type II diabetes mellitus, dietary heme iron intake measurement",GCST001843,7:16850188
rs10980508-<b>?</b>,"1 x 10-6",,NR,'-,"0.64 unit increase",[NR],"SVEP1, MUSK","Type 2 diabetes (dietary heme iron intake interaction)","type II diabetes mellitus, dietary heme iron intake measurement",GCST001843,9:110657479
rs470089-<b>?</b>,"9 x 10-6",,NR,'-,"0.55 unit decrease",[NR],SULT4A1,"Type 2 diabetes (dietary heme iron intake interaction)","type II diabetes mellitus, dietary heme iron intake measurement",GCST001843,22:43852624
rs163182-<b>C</b>,"2 x 10-17",,0.34,1.28,'-,[NR],KCNQ1,"Type 2 diabetes","type II diabetes mellitus",GCST001173,11:2822986
rs1436953-<b>G</b>,"8 x 10-6",,0.64,1.14,'-,[NR],"NPM1P47, C2CD4B","Type 2 diabetes","type II diabetes mellitus",GCST001173,15:62121815
rs4472028-<b>T</b>,"2 x 10-10",,0.444249850706694,'-,"0.0453 unit increase",[0.031-0.059],MBNL1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,3:152335461
rs11925227-<b>A</b>,"2 x 10-8",,0.183438659087805,'-,"0.0534 unit decrease",[0.035-0.072],"TNIK, SLC2A2","Type 2 diabetes","type II diabetes mellitus",GCST006867,3:171048829
rs7651090-<b>G</b>,"4 x 10-57",,0.313376825056666,'-,"0.1204 unit increase",[0.11-0.14],IGF2BP2,"Type 2 diabetes","type II diabetes mellitus",GCST006867,3:185795604
rs3887925-<b>C</b>,"2 x 10-9",,0.446828440266774,'-,"0.0474 unit decrease",[0.032-0.063],ST6GAL1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,3:186947857
rs6808574-<b>T</b>,"4 x 10-13",,0.390373750851738,'-,"0.0552 unit decrease",[0.04-0.07],LINC01991,"Type 2 diabetes","type II diabetes mellitus",GCST006867,3:188022735
rs1801214-<b>C</b>,"6 x 10-34",,0.400415373416361,'-,"0.0903 unit decrease",[0.076-0.105],WFS1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,4:6301295
rs17086692-<b>T</b>,"2 x 10-8",,0.313425861468874,'-,"0.0467 unit decrease",[0.03-0.063],'-,"Type 2 diabetes","type II diabetes mellitus",GCST006867,4:52268127
rs993380-<b>A</b>,"5 x 10-10",,0.334449877168873,'-,"0.0507 unit increase",[0.035-0.067],SCD5,"Type 2 diabetes","type II diabetes mellitus",GCST006867,4:82663343
rs7674212-<b>T</b>,"6 x 10-10",,0.408864361771549,'-,"0.0465 unit decrease",[0.032-0.061],SLC9B2,"Type 2 diabetes","type II diabetes mellitus",GCST006867,4:103067742
rs11098676-<b>T</b>,"2 x 10-8",,0.212360864516997,'-,"0.054 unit decrease",[0.035-0.073],NUDT6,"Type 2 diabetes","type II diabetes mellitus",GCST006867,4:122911999
rs7685296-<b>T</b>,"2 x 10-10",,0.279364611974842,'-,"0.0511 unit decrease",[0.035-0.067],FBXW7,"Type 2 diabetes","type II diabetes mellitus",GCST006867,4:152332969
rs735949-<b>C</b>,"2 x 10-11",,0.141149742372597,'-,"0.0711 unit decrease",[0.05-0.092],ACSL1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,4:184795078
rs1061813-<b>G</b>,"3 x 10-9",,0.462880801655686,'-,"0.0429 unit increase",[0.029-0.057],ANKH,"Type 2 diabetes","type II diabetes mellitus",GCST006867,5:14847222
rs4865796-<b>G</b>,"1 x 10-11",,0.306909895697633,'-,"0.053 unit decrease",[0.038-0.068],ARL15,"Type 2 diabetes","type II diabetes mellitus",GCST006867,5:53976834
rs459193-<b>A</b>,"9 x 10-18",,0.254662376595439,'-,"0.0711 unit decrease",[0.055-0.087],"C5orf67, RPL26P19","Type 2 diabetes","type II diabetes mellitus",GCST006867,5:56510924
rs3900856-<b>A</b>,"7 x 10-10",,0.0392350361553793,'-,"0.1136 unit increase",[0.077-0.15],C5orf67,"Type 2 diabetes","type II diabetes mellitus",GCST006867,5:56538065
rs2307111-<b>C</b>,"3 x 10-8",,0.397269770420072,'-,"0.0407 unit decrease",[0.026-0.055],POC5,"Type 2 diabetes","type II diabetes mellitus",GCST006867,5:75707853
rs6878122-<b>G</b>,"1 x 10-12",,0.318208634557753,'-,"0.0564 unit increase",[0.041-0.072],ZBED3-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,5:77131486
rs7729395-<b>T</b>,"1 x 10-17",,0.0509409339093332,'-,"0.1373 unit increase",[0.11-0.17],PAM,"Type 2 diabetes","type II diabetes mellitus",GCST006867,5:102764872
rs10077431-<b>A</b>,"5 x 10-8",,0.214668130453798,'-,"0.0487 unit decrease",[0.031-0.066],YTHDC2,"Type 2 diabetes","type II diabetes mellitus",GCST006867,5:113591989
rs1050226-<b>G</b>,"3 x 10-11",,0.406792300585879,'-,"0.0491 unit decrease",[0.035-0.064],SSR1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,6:7281421
rs7756992-<b>G</b>,"6 x 10-62",,0.266895680827625,'-,"0.1297 unit increase",[0.11-0.14],'-,"Type 2 diabetes","type II diabetes mellitus",GCST006867,"Mapping not available"
rs2296173-<b>G</b>,"8 x 10-14",,0.212010575612847,'-,"0.065 unit increase",[0.048-0.082],MACF1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,1:39447679
rs12088739-<b>G</b>,"1 x 10-11",,0.089848136244033,'-,"0.0884 unit decrease",[0.063-0.114],"CDKN2C, MIR4421","Type 2 diabetes","type II diabetes mellitus",GCST006867,1:51041214
rs1127655-<b>C</b>,"2 x 10-8",,0.470936253793588,'-,"0.0438 unit increase",[0.028-0.059],PTGFRN,"Type 2 diabetes","type II diabetes mellitus",GCST006867,1:116987885
rs2493394-<b>G</b>,"1 x 10-10",,0.107337868211843,'-,"0.073 unit increase",[0.051-0.095],NOTCH2,"Type 2 diabetes","type II diabetes mellitus",GCST006867,1:119928601
rs340874-<b>T</b>,"8 x 10-18",,0.43609575454678,'-,"0.0626 unit decrease",[0.048-0.077],"PROX1-AS1, PROX1","Type 2 diabetes","type II diabetes mellitus",GCST006867,1:213985913
rs2820426-<b>A</b>,"1 x 10-12",,0.389942484385998,'-,"0.0521 unit decrease",[0.038-0.066],LYPLAL1-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,1:219487193
rs348330-<b>G</b>,"2 x 10-9",,0.366548876273864,'-,"0.0487 unit increase",[0.033-0.065],ABCB10,"Type 2 diabetes","type II diabetes mellitus",GCST006867,1:229537208
rs2867125-<b>T</b>,"4 x 10-10",,0.172175281510457,'-,"0.0601 unit decrease",[0.041-0.079],"LINC01875, TMEM18","Type 2 diabetes","type II diabetes mellitus",GCST006867,2:622827
rs780094-<b>T</b>,"5 x 10-21",,0.387154700626533,'-,"0.0692 unit decrease",[0.055-0.084],'-,"Type 2 diabetes","type II diabetes mellitus",GCST006867,"Mapping not available"
rs17334919-<b>T</b>,"7 x 10-28",,0.100217908588586,'-,"0.1398 unit decrease",[0.11-0.16],THADA,"Type 2 diabetes","type II diabetes mellitus",GCST006867,2:43480246
rs243019-<b>C</b>,"2 x 10-15",,0.455830717095865,'-,"0.0566 unit increase",[0.043-0.071],MIR4432HG,"Type 2 diabetes","type II diabetes mellitus",GCST006867,2:60358671
rs1009358-<b>C</b>,"1 x 10-11",,0.377278111777916,'-,"0.0545 unit decrease",[0.039-0.07],"LINC02245, LINC02576","Type 2 diabetes","type II diabetes mellitus",GCST006867,2:65049318
rs10169613-<b>T</b>,"4 x 10-8",,0.472133958676468,'-,"0.0429 unit decrease",[0.028-0.058],MIR4435-2HG,"Type 2 diabetes","type II diabetes mellitus",GCST006867,2:111177400
rs12617659-<b>T</b>,"3 x 10-11",,0.147238129122417,'-,"0.0685 unit decrease",[0.048-0.089],"Y_RNA, LINC01101","Type 2 diabetes","type II diabetes mellitus",GCST006867,2:120552183
rs7572970-<b>A</b>,"1 x 10-11",,0.277953371585924,'-,"0.059 unit decrease",[0.042-0.076],RBMS1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,2:160280145
rs13389219-<b>T</b>,"2 x 10-22",,0.394367937714495,'-,"0.0722 unit decrease",[0.058-0.087],'-,"Type 2 diabetes","type II diabetes mellitus",GCST006867,"Mapping not available"
rs2972144-<b>A</b>,"3 x 10-34",,0.354633108192389,'-,"0.0913 unit decrease",[0.077-0.106],'-,"Type 2 diabetes","type II diabetes mellitus",GCST006867,2:226236695
rs7561798-<b>G</b>,"3 x 10-8",,0.482171024837791,'-,"0.04 unit increase",[0.026-0.054],SPHKAP,"Type 2 diabetes","type II diabetes mellitus",GCST006867,2:228108944
rs1899951-<b>T</b>,"2 x 10-24",,0.123288181623979,'-,"0.1118 unit decrease",[0.09-0.133],PPARG,"Type 2 diabetes","type II diabetes mellitus",GCST006867,3:12353341
rs1496653-<b>G</b>,"3 x 10-18",,0.204781842750379,'-,"0.0769 unit decrease",[0.06-0.094],UBE2E2,"Type 2 diabetes","type II diabetes mellitus",GCST006867,3:23413299
rs11926707-<b>T</b>,"2 x 10-8",,0.374443928283118,'-,"0.0463 unit decrease",[0.03-0.062],PTH1R,"Type 2 diabetes","type II diabetes mellitus",GCST006867,3:46884049
rs2292662-<b>T</b>,"1 x 10-8",,0.151271963500907,'-,"0.0629 unit decrease",[0.041-0.085],"SCAANT1, ATXN7","Type 2 diabetes","type II diabetes mellitus",GCST006867,3:63911539
rs6795735-<b>T</b>,"2 x 10-14",,0.410911492715474,'-,"0.0558 unit decrease",[0.041-0.07],ADAMTS9-AS2,"Type 2 diabetes","type II diabetes mellitus",GCST006867,3:64719689
rs11708067-<b>G</b>,"6 x 10-29",,0.238989658490694,'-,"0.0965 unit decrease",[0.08-0.113],ADCY5,"Type 2 diabetes","type II diabetes mellitus",GCST006867,3:123346931
rs9844972-<b>C</b>,"1 x 10-10",,0.0697229176154775,'-,"0.0956 unit increase",[0.067-0.125],"TSC22D2, LINC01214","Type 2 diabetes","type II diabetes mellitus",GCST006867,3:150379848
rs10811661-<b>C</b>,"4 x 10-58",,0.173605396001198,'-,"0.1569 unit decrease",[0.14-0.18],CDKN2B-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,9:22134095
rs1758632-<b>C</b>,"1 x 10-9",,0.376593206821159,'-,"0.0491 unit decrease",[0.033-0.065],UBAP2,"Type 2 diabetes","type II diabetes mellitus",GCST006867,9:34025642
rs17791483-<b>G</b>,"3 x 10-12",,0.062588322668909,'-,"0.102 unit decrease",[0.073-0.131],'-,"Type 2 diabetes","type II diabetes mellitus",GCST006867,9:79284065
rs2796441-<b>A</b>,"2 x 10-22",,0.416458049639807,'-,"0.0715 unit decrease",[0.057-0.086],"TLE1, RNU6-1035P","Type 2 diabetes","type II diabetes mellitus",GCST006867,9:81694033
rs10114341-<b>C</b>,"1 x 10-8",,0.440754140705696,'-,"0.0409 unit decrease",[0.027-0.055],"MIRLET7A1HG, PTPDC1","Type 2 diabetes","type II diabetes mellitus",GCST006867,9:94156900
rs687621-<b>G</b>,"1 x 10-8",,0.324802051593313,'-,"0.0433 unit increase",[0.028-0.058],ABO,"Type 2 diabetes","type II diabetes mellitus",GCST006867,9:133261662
rs11257655-<b>T</b>,"2 x 10-17",,0.206773280772991,'-,"0.0737 unit increase",[0.057-0.091],"RN7SL198P, CDC123","Type 2 diabetes","type II diabetes mellitus",GCST006867,10:12265895
rs2616132-<b>A</b>,"7 x 10-9",,0.474257342929455,'-,"0.0455 unit increase",[0.03-0.061],"RPL5P26, LINC02651","Type 2 diabetes","type II diabetes mellitus",GCST006867,10:69709758
rs2633310-<b>T</b>,"2 x 10-8",,0.435073424137569,'-,"0.0443 unit decrease",[0.029-0.06],CAMK2G,"Type 2 diabetes","type II diabetes mellitus",GCST006867,10:73834292
rs753270-<b>T</b>,"3 x 10-11",,0.416465397344019,'-,"0.0528 unit decrease",[0.037-0.068],ZMIZ1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,10:79205218
rs7923866-<b>T</b>,"9 x 10-40",,0.378774900654434,'-,"0.0972 unit decrease",[0.083-0.112],Y_RNA,"Type 2 diabetes","type II diabetes mellitus",GCST006867,10:92722319
rs11591741-<b>C</b>,"1 x 10-9",,0.440386558895344,'-,"0.0475 unit decrease",[0.032-0.063],CHUK,"Type 2 diabetes","type II diabetes mellitus",GCST006867,10:100216744
rs7903146-<b>T</b>,"1 x 10-347",,0.291584512494863,'-,"0.3059 unit increase",[0.29-0.32],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST006867,10:112998590
rs4918796-<b>C</b>,"4 x 10-13",,0.222568957792386,'-,"0.0623 unit increase",[0.045-0.079],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST006867,10:113120583
rs2421016-<b>T</b>,"1 x 10-10",,0.47376147291859,'-,"0.0458 unit decrease",[0.032-0.06],PLEKHA1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,10:122407996
rs2237892-<b>T</b>,"9 x 10-10",,0.0624895946466012,'-,"0.096 unit decrease",[0.065-0.127],KCNQ1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,11:2818521
rs5215-<b>C</b>,"2 x 10-20",,0.360058778070131,'-,"0.0678 unit increase",[0.053-0.082],'-,"Type 2 diabetes","type II diabetes mellitus",GCST006867,"Mapping not available"
rs7929543-<b>C</b>,"2 x 10-9",,0.0831598873051136,'-,"0.0828 unit increase",[0.056-0.11],'-,"Type 2 diabetes","type II diabetes mellitus",GCST006867,"Mapping not available"
rs1552224-<b>C</b>,"9 x 10-25",,0.15421045285969,'-,"0.1034 unit decrease",[0.084-0.123],ARAP1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,11:72722053
rs10830963-<b>G</b>,"6 x 10-30",,0.275768063801753,'-,"0.0909 unit increase",[0.075-0.107],MTNR1B,"Type 2 diabetes","type II diabetes mellitus",GCST006867,11:92975544
rs7931302-<b>C</b>,"8 x 10-9",,0.276869908846429,'-,"0.0461 unit increase",[0.03-0.062],ETS1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,11:128366163
rs67232546-<b>T</b>,"5 x 10-10",,0.20922179282714,'-,"0.0596 unit increase",[0.041-0.078],"ETS1-AS1, ETS1","Type 2 diabetes","type II diabetes mellitus",GCST006867,11:128529043
rs12299509-<b>G</b>,"2 x 10-10",,0.478621745294057,'-,"0.0467 unit increase",[0.032-0.061],CCND2,"Type 2 diabetes","type II diabetes mellitus",GCST006867,12:4297115
rs11048456-<b>C</b>,"3 x 10-9",,0.243820870789437,'-,"0.0488 unit increase",[0.033-0.065],"ITPR2, SSPN","Type 2 diabetes","type II diabetes mellitus",GCST006867,12:26310149
rs10842994-<b>T</b>,"1 x 10-16",,0.197025394898452,'-,"0.0755 unit decrease",[0.058-0.093],RN7SKP15,"Type 2 diabetes","type II diabetes mellitus",GCST006867,12:27812217
rs9369425-<b>G</b>,"1 x 10-10",,0.291815284019485,'-,"0.0546 unit increase",[0.038-0.071],"LINC02537, VEGFA","Type 2 diabetes","type II diabetes mellitus",GCST006867,6:43843237
rs72892910-<b>T</b>,"6 x 10-11",,0.172394287519017,'-,"0.0648 unit increase",[0.045-0.084],"RPS17P5, TFAP2B","Type 2 diabetes","type II diabetes mellitus",GCST006867,6:50849174
rs853974-<b>T</b>,"8 x 10-12",,0.26241384700306,'-,"0.0601 unit increase",[0.043-0.077],'-,"Type 2 diabetes","type II diabetes mellitus",GCST006867,"Mapping not available"
rs2246012-<b>C</b>,"2 x 10-8",,0.164823310878823,'-,"0.0527 unit increase",[0.034-0.071],"ARG1, MED23","Type 2 diabetes","type II diabetes mellitus",GCST006867,6:131577068
rs622217-<b>C</b>,"3 x 10-10",,0.483931554092884,'-,"0.0485 unit decrease",[0.033-0.064],"SLC22A2, SLC22A3","Type 2 diabetes","type II diabetes mellitus",GCST006867,6:160345738
rs17168486-<b>T</b>,"2 x 10-15",,0.173603116062419,'-,"0.0742 unit increase",[0.056-0.093],DGKB,"Type 2 diabetes","type II diabetes mellitus",GCST006867,7:14858657
rs2191348-<b>G</b>,"3 x 10-19",,0.45306459897734,'-,"0.0652 unit decrease",[0.051-0.08],GTF3AP5,"Type 2 diabetes","type II diabetes mellitus",GCST006867,7:15024630
rs849135-<b>G</b>,"1 x 10-43",,0.500947820257996,'-,"0.0999 unit increase",[0.086-0.114],'-,"Type 2 diabetes","type II diabetes mellitus",GCST006867,"Mapping not available"
rs2908282-<b>A</b>,"4 x 10-9",,0.177394802964819,'-,"0.0552 unit increase",[0.037-0.074],YKT6,"Type 2 diabetes","type II diabetes mellitus",GCST006867,7:44209229
rs2299383-<b>T</b>,"1 x 10-8",,0.423455221755939,'-,"0.0412 unit increase",[0.027-0.056],RELN,"Type 2 diabetes","type II diabetes mellitus",GCST006867,7:103778399
rs13239186-<b>T</b>,"3 x 10-10",,0.302028595537338,'-,"0.0539 unit increase",[0.037-0.071],CTTNBP2,"Type 2 diabetes","type II diabetes mellitus",GCST006867,7:117870567
rs13234269-<b>A</b>,"7 x 10-14",,0.492515171023194,'-,"0.0583 unit decrease",[0.043-0.074],"H4P1, KLF14","Type 2 diabetes","type II diabetes mellitus",GCST006867,7:130744427
rs7786095-<b>G</b>,"1 x 10-8",,0.103859860937899,'-,"0.0743 unit decrease",[0.049-0.1],UBE3C,"Type 2 diabetes","type II diabetes mellitus",GCST006867,7:157191153
rs7841082-<b>T</b>,"5 x 10-8",,0.438275980628985,'-,"0.042 unit decrease",[0.027-0.057],"FAM86B3P, PRAG1","Type 2 diabetes","type II diabetes mellitus",GCST006867,8:8311465
rs11774915-<b>T</b>,"9 x 10-9",,0.337128968995153,'-,"0.0495 unit increase",[0.033-0.066],"RNU6-526P, RNU6-1151P","Type 2 diabetes","type II diabetes mellitus",GCST006867,8:9331252
rs10100265-<b>A</b>,"6 x 10-10",,0.389510131879901,'-,"0.0491 unit increase",[0.034-0.065],PINX1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,8:10775649
rs17411031-<b>G</b>,"3 x 10-8",,0.261729325660064,'-,"0.045 unit decrease",[0.029-0.061],LPL,"Type 2 diabetes","type II diabetes mellitus",GCST006867,8:19994799
rs10087241-<b>G</b>,"3 x 10-9",,0.405106648266454,'-,"0.0475 unit increase",[0.032-0.063],PURG,"Type 2 diabetes","type II diabetes mellitus",GCST006867,8:31006206
rs12681990-<b>C</b>,"4 x 10-11",,0.16372964194065,'-,"0.0634 unit increase",[0.045-0.082],"SMARCE1P4, KCNU1","Type 2 diabetes","type II diabetes mellitus",GCST006867,8:37001668
rs516946-<b>T</b>,"3 x 10-22",,0.23936670103039,'-,"0.0824 unit decrease",[0.066-0.099],ANK1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,8:41661730
rs7845219-<b>C</b>,"5 x 10-9",,0.49278585092858,'-,"0.0422 unit decrease",[0.028-0.056],NDUFAF6,"Type 2 diabetes","type II diabetes mellitus",GCST006867,8:94925274
rs3802177-<b>A</b>,"2 x 10-52",,0.311281439217812,'-,"0.1217 unit decrease",[0.11-0.14],SLC30A8,"Type 2 diabetes","type II diabetes mellitus",GCST006867,8:117172786
rs2294120-<b>G</b>,"2 x 10-8",,0.455879299759268,'-,"0.0443 unit decrease",[0.029-0.06],ZNF34,"Type 2 diabetes","type II diabetes mellitus",GCST006867,8:144778182
rs10974438-<b>C</b>,"3 x 10-15",,0.351215240515481,'-,"0.0591 unit increase",[0.044-0.074],GLIS3,"Type 2 diabetes","type II diabetes mellitus",GCST006867,9:4291928
rs1063192-<b>G</b>,"3 x 10-18",,0.440315561394922,'-,"0.0634 unit decrease",[0.049-0.078],"CDKN2B, CDKN2B-AS1","Type 2 diabetes","type II diabetes mellitus",GCST006867,9:22003368
rs2261181-<b>T</b>,"9 x 10-17",,0.096470032992502,'-,"0.0985 unit increase",[0.075-0.122],RPSAP52,"Type 2 diabetes","type II diabetes mellitus",GCST006867,12:65818538
rs1480474-<b>G</b>,"2 x 10-8",,0.415993965607979,'-,"0.0411 unit increase",[0.027-0.055],HMGA2,"Type 2 diabetes","type II diabetes mellitus",GCST006867,12:65933163
rs7138300-<b>C</b>,"6 x 10-10",,0.44316503609743,'-,"0.0443 unit increase",[0.03-0.058],TSPAN8,"Type 2 diabetes","type II diabetes mellitus",GCST006867,12:71045809
rs11107116-<b>T</b>,"4 x 10-8",,0.219714310921347,'-,"0.0467 unit increase",[0.03-0.063],"SOCS2, CRADD","Type 2 diabetes","type II diabetes mellitus",GCST006867,12:93584728
rs61953351-<b>T</b>,"2 x 10-14",,0.249902347563897,'-,"0.07 unit decrease",[0.052-0.088],OASL,"Type 2 diabetes","type II diabetes mellitus",GCST006867,12:121018813
rs940904-<b>G</b>,"2 x 10-9",,0.256626736793244,'-,"0.0499 unit decrease",[0.034-0.066],PITPNM2,"Type 2 diabetes","type II diabetes mellitus",GCST006867,12:123007025
rs825476-<b>C</b>,"7 x 10-13",,0.41945071095672,'-,"0.0524 unit decrease",[0.038-0.067],RFLNA,"Type 2 diabetes","type II diabetes mellitus",GCST006867,12:124083909
rs576674-<b>G</b>,"2 x 10-11",,0.167485416105361,'-,"0.0654 unit increase",[0.046-0.084],"KL, TOMM22P3","Type 2 diabetes","type II diabetes mellitus",GCST006867,13:32980164
rs963740-<b>T</b>,"2 x 10-8",,0.294299268188761,'-,"0.0479 unit decrease",[0.031-0.065],"DLEU7, DLEU1","Type 2 diabetes","type II diabetes mellitus",GCST006867,13:50521959
rs1359790-<b>A</b>,"3 x 10-23",,0.286699863937315,'-,"0.0796 unit decrease",[0.064-0.095],'-,"Type 2 diabetes","type II diabetes mellitus",GCST006867,13:80143021
rs7144011-<b>T</b>,"2 x 10-8",,0.221063370925376,'-,"0.0482 unit increase",[0.032-0.065],NRXN3,"Type 2 diabetes","type II diabetes mellitus",GCST006867,14:79474040
rs4502156-<b>C</b>,"2 x 10-8",,0.435857045480673,'-,"0.0411 unit decrease",[0.027-0.055],"C2CD4B, NPM1P47","Type 2 diabetes","type II diabetes mellitus",GCST006867,15:62090956
rs982077-<b>A</b>,"3 x 10-10",,0.434479031724371,'-,"0.0453 unit increase",[0.031-0.059],USP3,"Type 2 diabetes","type II diabetes mellitus",GCST006867,15:63531102
rs7177055-<b>G</b>,"3 x 10-16",,0.28171133230901,'-,"0.0647 unit decrease",[0.049-0.08],"LINGO1, HMG20A","Type 2 diabetes","type II diabetes mellitus",GCST006867,15:77540420
rs4932143-<b>G</b>,"6 x 10-11",,0.27905586673087,'-,"0.0568 unit increase",[0.04-0.074],"AP3S2, ANPEP","Type 2 diabetes","type II diabetes mellitus",GCST006867,15:89828835
rs12910825-<b>G</b>,"2 x 10-12",,0.360390808672187,'-,"0.0517 unit increase",[0.037-0.066],"PRC1-AS1, PRC1","Type 2 diabetes","type II diabetes mellitus",GCST006867,15:90968030
rs9940149-<b>A</b>,"9 x 10-10",,0.17855594571223,'-,"0.058 unit decrease",[0.039-0.077],FAM234A,"Type 2 diabetes","type II diabetes mellitus",GCST006867,16:250642
rs7185735-<b>G</b>,"2 x 10-47",,0.397306062260211,'-,"0.1056 unit increase",[0.091-0.12],FTO,"Type 2 diabetes","type II diabetes mellitus",GCST006867,16:53788739
rs244415-<b>A</b>,"4 x 10-9",,0.412872431129737,'-,"0.0467 unit decrease",[0.031-0.062],NFAT5,"Type 2 diabetes","type II diabetes mellitus",GCST006867,16:69632780
rs77258096-<b>A</b>,"2 x 10-18",,0.101383461593617,'-,"0.1171 unit decrease",[0.091-0.143],"CTRB2, CTRB1","Type 2 diabetes","type II diabetes mellitus",GCST006867,16:75209874
rs2925979-<b>T</b>,"9 x 10-12",,0.299149855500384,'-,"0.0534 unit increase",[0.038-0.069],CMIP,"Type 2 diabetes","type II diabetes mellitus",GCST006867,16:81501185
rs8068804-<b>A</b>,"4 x 10-14",,0.325096537247602,'-,"0.0587 unit increase",[0.043-0.074],ZZEF1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,17:4082570
rs12945601-<b>T</b>,"2 x 10-9",,0.386396556423368,'-,"0.048 unit increase",[0.032-0.064],RAI1,"Type 2 diabetes","type II diabetes mellitus",GCST006867,17:17750097
rs11651755-<b>C</b>,"9 x 10-22",,0.484669254001265,'-,"0.0741 unit increase",[0.059-0.089],HNF1B,"Type 2 diabetes","type II diabetes mellitus",GCST006867,17:37739849
rs17405722-<b>A</b>,"2 x 10-9",,0.0741526485278786,'-,"0.087 unit increase",[0.058-0.116],"STAT3, CAVIN1","Type 2 diabetes","type II diabetes mellitus",GCST006867,17:42390483
rs9911983-<b>C</b>,"5 x 10-8",,0.433426851041322,'-,"0.0397 unit decrease",[0.025-0.054],OSBPL7,"Type 2 diabetes","type II diabetes mellitus",GCST006867,17:47808390
